strategy_profile_id,recipe_id,recipe_name,progression_cluster_id,rank,rationale,parameterized,provenance
rocky_relaxed_districted_v1,tempered_caterium_ingot,Tempered Caterium Ingot,tier_5_6,B,Caterium Ore + Petroleum Coke; can appear without Caterium MAM research.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,tempered_copper_ingot,Tempered Copper Ingot,tier_5_6,B,Good Copper yield using Petroleum Coke.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,plastic_smart_plating,Plastic Smart Plating,tier_5_6,B/C,Faster Smart Plating using Plastic.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,polymer_resin,Polymer Resin,tier_5_6,C,Optimizes Polymer Resin instead of Heavy Oil Residue; opposite the preferred oil architecture.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,steel_canister,Steel Canister,tier_5_6,B,Simple canister production where Steel is plentiful.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,coated_iron_canister,Coated Iron Canister,tier_5_6,B/C,Alternative canister route using Iron Plate + Copper Sheet.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,heavy_encased_frame,Heavy Encased Frame,tier_5_6,S,Eliminates HMF Screws and synergizes strongly with Encased Industrial Pipe.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,heavy_flexible_frame,Heavy Flexible Frame,tier_5_6,B,High HMF throughput but retains huge Screw demand and adds Rubber.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,sloppy_alumina,Sloppy Alumina,tier_7_8,S,Simplifies aluminum and removes Silica input from Alumina Solution.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,pure_aluminum_ingot,Pure Aluminum Ingot,tier_7_8,S,Scrap to Ingots directly; removes Silica from main Aluminum Ingot chain.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,electrode_aluminum_scrap,Electrode Aluminum Scrap,tier_7_8,A,Replaces Coal with Petroleum Coke; useful for oil-integrated aluminum.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,alclad_casing,Alclad Casing,tier_7_8,A,High Aluminum Casing throughput.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,aluminum_rod,Aluminum Rod,tier_7_8,B,Turns Aluminum into very large Iron Rod output.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,aluminum_beam,Aluminum Beam,tier_7_8,B,Alternative Beam production using Aluminum.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,instant_scrap,Instant Scrap,tier_7_8,B,Direct Scrap route using Sulfuric Acid; more complex than Sloppy Alumina.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,diluted_fuel,Diluted Fuel,tier_7_8,S,Blender Fuel route using HOR + Water directly; removes packaging loop.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,classic_battery,Classic Battery,tier_7_8,A,Fluid-free Battery production; logistics friendly.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,oc_supercomputer,OC Supercomputer,tier_7_8,A,Compact Supercomputer chain using late components.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,radio_control_system,Radio Control System,tier_7_8,A,Strong RCU alternative depending on electronics chain.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,super_state_computer,Super-State Computer,tier_7_8,A,Alternative Supercomputer chain.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,leached_copper_ingot,Leached Copper Ingot,tier_7_8,A/B,Excellent Copper yield using Sulfuric Acid.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,leached_caterium_ingot,Leached Caterium Ingot,tier_7_8,A/B,Excellent Caterium yield using Sulfuric Acid.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,leached_iron_ingot,Leached Iron Ingot,tier_7_8,B,Efficient Iron yield; Iron usually not the primary constraint.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,quartz_purification,Quartz Purification,tier_7_8,B,High-yield Quartz processing.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,distilled_silica,Distilled Silica,tier_7_8,B,Unlocked with Quartz Purification rather than as a separate Hard Drive choice.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,turbo_blend_fuel,Turbo Blend Fuel,tier_7_8,B,Useful Turbofuel route; less compelling once Rocket Fuel is the goal.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,cooling_device,Cooling Device,tier_7_8,A,Good Cooling System alternative.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,heat_exchanger,Heat Exchanger,tier_7_8,A,Attractive Heat Sink recipe using Casings + Rubber.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,heat_fused_frame,Heat-Fused Frame,tier_7_8,A,Strong Fused Modular Frame alternative.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,electric_motor,Electric Motor,tier_7_8,A/B,High-output Motor recipe using late components.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,turbo_electric_motor,Turbo Electric Motor,tier_7_8,B,Alternative Turbo Motor route.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,turbo_pressure_motor,Turbo Pressure Motor,tier_7_8,B,Alternative Turbo Motor route.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,fertile_uranium,Fertile Uranium,tier_7_8,B,Nuclear recycling optimization.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,instant_plutonium_cell,Instant Plutonium Cell,tier_7_8,B,Nuclear waste-chain optimization.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,plutonium_fuel_unit,Plutonium Fuel Unit,tier_7_8,B,Plutonium production optimization.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,oil_based_diamonds,Oil-Based Diamonds,tier_9,S/A,Strong Diamond route where Oil capacity is convenient.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,cloudy_diamonds,Cloudy Diamonds,tier_9,A,Coal + Limestone Diamond route.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,petroleum_diamonds,Petroleum Diamonds,tier_9,A/B,Converts Petroleum Coke into Diamonds.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,pink_diamonds,Pink Diamonds,tier_9,B,Coal + Quartz Crystal route.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,dark_matter_trap,Dark Matter Trap,tier_9,S/A,Strong Dark Matter Crystal option using late quantum inputs.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
rocky_relaxed_districted_v1,dark_matter_crystallization,Dark Matter Crystallization,tier_9,A,Straightforward Dark Matter Residue to Crystal route.,true,Satisfactory_Alternate_Recipe_Unlocks_by_Progression(2).md
