district_phase_id,district_id,phase_order,phase_code,name,confidence,phase_role,current_belt_capability,design_belt_capability,current_miner_capability,design_miner_capability,permanent_layout,expansion_intent,transition_trigger,strategy_profile_id
rocky_c3,rocky_desert_c,3,C3,Permanent 270/min Steel / Motor Components,DEFINED,"Operate mature pipe-heavy steel production with dedicated EIB, Rotor, Stator, and downstream Motor capacity.",belt_mk3,belt_mk4,miner_mk2,miner_mk2,true,"Extend existing manifolds first; duplicate a line only after belt capacity, footprint length, or logistics makes further extension undesirable.",Regional rail backbone and/or higher export demand.,rocky_relaxed_districted_v1
rocky_c4,rocky_desert_c,4,C4,Rail-Integrated Steel Expansion,PARAMETERIZED,Connect mature steel outputs to regional logistics and expand throughput as needed.,belt_mk4,belt_mk4,miner_mk2,miner_mk2,true,Continue same-line extension where practical; add parallel/duplicate lines only when a physical or throughput limit is reached.,Late-game regional demand or logistics constraints.,rocky_relaxed_districted_v1
rocky_d0,rocky_desert_d,0,D0,Temporary Oil,DEFINED,Early plastic/rubber with residue safety valve; do not overbuild.,,,,,false,Keep crude capacity and physical space uncommitted for permanent fuel/recycling architecture.,Preferred oil alternates available.,rocky_relaxed_districted_v1
rocky_d1,rocky_desert_d,1,D1,Permanent Petrochemical,PARAMETERIZED,Heavy Oil Residue + recycled plastic/rubber architecture.,,,,,true,Separate plastic/rubber modules with independent storage and room for fuel expansion.,Fuel/power or downstream petrochemical demand.,rocky_relaxed_districted_v1
rocky_d2,rocky_desert_d,2,D2,Fuel / Power Expansion,PARAMETERIZED,Mature fuel production and regional power expansion.,,,,,true,Extend fuel and generator modules along reserved fluid/logistics corridors.,Diluted Fuel and sustained power demand.,rocky_relaxed_districted_v1
rocky_e0,rocky_desert_e,0,E0,Structural Reserve,PLACEHOLDER,Reserve footprint/resources for later HMF production.,,,,,false,Preserve resource access and factory pad; defer detailed topology.,Industrial Manufacturing and preferred HMF recipe.,rocky_relaxed_districted_v1
rocky_e1,rocky_desert_e,1,E1,Heavy Modular Frame Works,PARAMETERIZED,Permanent Modular Frame → Heavy Modular Frame chain.,belt_mk3,belt_mk4,miner_mk2,miner_mk2,true,Leave logistics/import side open for steel/concrete feeds and later Fused Frames.,Heavy Encased Frame secured.,rocky_relaxed_districted_v1
rocky_e2,rocky_desert_e,2,E2,Fused Frame Expansion,PLACEHOLDER,Add Fused Modular Frame production when late inputs/logistics justify it.,,,,,true,Expand outward from HMF output/logistics edge.,Late-game fused-frame demand.,rocky_relaxed_districted_v1
rocky_f0,rocky_desert_f,0,F0,Bauxite Claim / Logistics,DEFINED,Secure Bauxite extraction and move ore toward reliable water.,belt_mk3,belt_mk4,miner_mk2,miner_mk2,false,Preserve downhill/rail logistics corridor; avoid heavy highland processing.,Preferred aluminum recipes available.,rocky_relaxed_districted_v1
rocky_f1,rocky_desert_f,1,F1,Permanent Aluminum,PARAMETERIZED,Water-side alumina/scrap/ingot production using simplified aluminum chain.,belt_mk4,belt_mk4,miner_mk2,miner_mk2,true,"Separate wet process, scrap, ingot, and export edges; preserve room for more bauxite feed.",Sloppy Alumina + Pure Aluminum Ingot.,rocky_relaxed_districted_v1
rocky_f2,rocky_desert_f,2,F2,Aluminum Expansion / Export,PLACEHOLDER,Increase aluminum throughput and rail export.,belt_mk4,belt_mk5,miner_mk2,miner_mk3,true,Add repeated process blocks near water/logistics edge.,Late-game aluminum demand.,rocky_relaxed_districted_v1
rocky_g0,rocky_desert_g,0,G0,Site Selection / Junction,DEFINED,"Select buildable, rail-accessible logistics/advanced-manufacturing location.",,,,,false,Reserve broad station/campus footprint and multiple approach directions.,Regional rail backbone planning.,rocky_relaxed_districted_v1
rocky_g1,rocky_desert_g,1,G1,Advanced Manufacturing,PLACEHOLDER,Consolidate low-volume T7-T9 advanced assembly.,belt_mk4,belt_mk5,,,true,Organize around logistics frontage; add independent advanced modules.,Imported advanced part flows established.,rocky_relaxed_districted_v1
rocky_g2,rocky_desert_g,2,G2,Late Logistics Hub,PLACEHOLDER,Regional rail/drone interchange and late-game export/import consolidation.,belt_mk5,belt_mk6,,,true,Reserve station/drone expansion zones and avoid blocking trunk corridors.,Late-game logistics demand.,rocky_relaxed_districted_v1
