module_phase_id,module_id,district_phase_id,recipe_id,target_output_min,machine_count,design_lane_capacity,active_fraction,confidence,notes
d_fuel_rocky_d2,d_fuel,rocky_d2,Recipe_Alternate_DilutedFuel_C,,,,,DEFINED,Preferred mature fuel recipe.
e_concrete_rocky_e1,e_concrete,rocky_e1,Recipe_Concrete_C,,,,,DEFINED,Local concrete.
e_modframe_rocky_e1,e_modframe,rocky_e1,Recipe_ModularFrame_C,,,,,PARAMETERIZED,Exact local/import split remains strategy dependent.
e_hmf_rocky_e1,e_hmf,rocky_e1,Recipe_Alternate_ModularFrameHeavy_C,,,,,DEFINED,Preferred HMF recipe.
f_alumina_rocky_f1,f_alumina,rocky_f1,Recipe_Alternate_SloppyAlumina_C,,,,,DEFINED,Preferred alumina recipe.
f_scrap_rocky_f1,f_scrap,rocky_f1,Recipe_AluminumScrap_C,,,,,PARAMETERIZED,Default scrap unless electrode route is selected.
f_al_ingot_rocky_f1,f_al_ingot,rocky_f1,Recipe_PureAluminumIngot_C,,,,,DEFINED,Preferred ingot recipe.
f_al_sheet_rocky_f1,f_al_sheet,rocky_f1,Recipe_AluminumSheet_C,,,,,DEFINED,Construction/logistics output.
f_al_casing_rocky_f1,f_al_casing,rocky_f1,Recipe_AluminumCasing_C,,,,,DEFINED,Construction/advanced output.
g_circuit_board_rocky_g1,g_circuit_board,rocky_g1,Recipe_Alternate_CircuitBoard_1_C,,,,,PARAMETERIZED,Preferred candidate; depends on quartz logistics.
g_computer_rocky_g1,g_computer,rocky_g1,Recipe_Alternate_Computer_1_C,,,,,PARAMETERIZED,Preferred candidate; depends on Caterium/plastic logistics.
g_high_speed_connector_rocky_g2,g_high_speed_connector,rocky_g2,Recipe_HighSpeedConnector_C,,,,,PLACEHOLDER,Late electronics module.
g_supercomputer_rocky_g2,g_supercomputer,rocky_g2,Recipe_ComputerSuper_C,,,,,PLACEHOLDER,Late advanced manufacturing.
g_radio_control_rocky_g2,g_radio_control,rocky_g2,Recipe_RadioControlUnit_C,,,,,PLACEHOLDER,Late advanced manufacturing.
