storage_policy_id,module_id,item_name,storage_required,storage_role,placement_policy,consumer_priority,dimensional_depot,overflow_policy,buffer_behavior,distance_from_producer,confidence,notes
storage_c_vframe,c_vframe,Versatile Framework,true,project_buffer,central_terminal,before_storage,false,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_c_auto_wiring,c_auto_wiring,Automated Wiring,true,project_buffer,central_terminal,before_storage,false,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Default: cluster player-access storage and overflow handling rather than placing storage inline with every production module.
storage_b_coal_supply,b_coal_supply,Coal,false,feed_buffer_optional,local_optional,before_storage,false,none,optional,local,DEFINED,Functional topology default for Rocky strategy profile.
storage_b_water_supply,b_water_supply,Water,false,feed_buffer_optional,local_optional,before_storage,false,none,optional,local,DEFINED,Functional topology default for Rocky strategy profile.
storage_b_coal_power,b_coal_power,Power,false,none,none,before_storage,false,none,none,local,DEFINED,Functional topology default for Rocky strategy profile.
storage_b_compacted_coal,b_compacted_coal,Compacted Coal,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PARAMETERIZED,Functional topology default for Rocky strategy profile.
storage_d_crude_supply,d_crude_supply,Crude Oil,false,feed_buffer_optional,local_optional,before_storage,false,none,optional,local,DEFINED,Functional topology default for Rocky strategy profile.
storage_d_plastic,d_plastic,Plastic,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_d_rubber,d_rubber,Rubber,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_d_hor,d_hor,Heavy Oil Residue,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_d_pet_coke,d_pet_coke,Petroleum Coke,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_d_fuel,d_fuel,Fuel,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PARAMETERIZED,Functional topology default for Rocky strategy profile.
storage_d_recycled_plastic,d_recycled_plastic,Plastic,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_d_recycled_rubber,d_recycled_rubber,Rubber,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_d_fuel_power,d_fuel_power,Power,false,none,none,before_storage,false,none,none,local,PARAMETERIZED,Functional topology default for Rocky strategy profile.
storage_e_iron_feed,e_iron_feed,Iron Ore,false,feed_buffer_optional,local_optional,before_storage,false,none,optional,local,PARAMETERIZED,Functional topology default for Rocky strategy profile.
storage_e_concrete,e_concrete,Concrete,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_e_modframe,e_modframe,Modular Frame,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_e_hmf,e_hmf,Heavy Modular Frame,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_e_fused_frame,e_fused_frame,Fused Modular Frame,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PLACEHOLDER,Functional topology default for Rocky strategy profile.
storage_f_bauxite_supply,f_bauxite_supply,Bauxite,false,feed_buffer_optional,local_optional,before_storage,false,none,optional,local,DEFINED,Functional topology default for Rocky strategy profile.
storage_f_water_supply,f_water_supply,Water,false,feed_buffer_optional,local_optional,before_storage,false,none,optional,local,DEFINED,Functional topology default for Rocky strategy profile.
storage_f_alumina,f_alumina,Alumina Solution,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_f_scrap,f_scrap,Aluminum Scrap,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_f_al_ingot,f_al_ingot,Aluminum Ingot,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_f_al_sheet,f_al_sheet,Alclad Aluminum Sheet,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_f_al_casing,f_al_casing,Aluminum Casing,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_g_logistics_hub,g_logistics_hub,Logistics Hub,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,DEFINED,Functional topology default for Rocky strategy profile.
storage_g_computer,g_computer,Computer,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PARAMETERIZED,Functional topology default for Rocky strategy profile.
storage_g_circuit_board,g_circuit_board,Circuit Board,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PARAMETERIZED,Functional topology default for Rocky strategy profile.
storage_g_high_speed_connector,g_high_speed_connector,High-Speed Connector,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PLACEHOLDER,Functional topology default for Rocky strategy profile.
storage_g_supercomputer,g_supercomputer,Supercomputer,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PLACEHOLDER,Functional topology default for Rocky strategy profile.
storage_g_radio_control,g_radio_control,Radio Control Unit,true,construction_reserve;retained_inventory,central_terminal,before_storage,preferred,storage_full_to_shared_sink,backpressure_reserve_after_storage_fills,distance_tolerant,PLACEHOLDER,Functional topology default for Rocky strategy profile.
