item_id,display_name,descriptor_native_class,category,form,stack_size_enum,cached_stack_size,sink_points,energy_value,radioactive_decay,can_be_discarded,is_alien_item,description,game_build_id,source_id
Desc_SpaceElevatorPart_6_C,Magnetic Field Generator,FGItemDescriptor,item,solid,SS_SMALL,50,11000,0.000000,0.000000,True,False,Project Part #7. Ship via the Space Elevator to complete phases of Project Assembly.  These modular generators use superconducting magnets and vast amounts of electricity to produce a powerful and easily expandable magnetic field.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_7_C,Assembly Director System,FGItemDescriptor,item,solid,SS_SMALL,50,500176,0.000000,0.000000,True,False,Project Part #6. Ship via the Space Elevator to complete phases of Project Assembly.  This extremely fast and precise computing system is specifically designed to direct the Project Assembly: Assembly Phase.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_8_C,Thermal Propulsion Rocket,FGItemDescriptor,item,solid,SS_SMALL,50,728508,0.000000,0.000000,True,False,Project Part #8. Ship via the Space Elevator to complete phases of Project Assembly.  Uses extreme heat to produce the high-pressure plasma required to get Project Assembly into motion.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_9_C,Nuclear Pasta,FGItemDescriptor,item,solid,SS_SMALL,50,538976,0.000000,0.000000,True,False,"Project Part #9. Ship via the Space Elevator to complete phases of Project Assembly. Power Usage: 500-1500 MW (1000 MW average).  Nuclear Pasta is extremely dense degenerate matter, formed when extreme pressure forces protons and electrons together into neutrons. It is theorized to exist naturally within the crust of neutron stars.",docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_11_C,Ballistic Warp Drive,FGItemDescriptor,item,solid,SS_SMALL,50,2895334,0.000000,0.000000,True,False,"Project Part #11. Ship via the Space Elevator to complete phases of Project Assembly.  A large amount of force is required for the Warp Drives to activate, so sticking them to rockets was the logical next step. Additionally, results improved immensely when the observers were further removed from the Warp Drives upon activation.",docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_12_C,AI Expansion Server,FGItemDescriptor,item,solid,SS_SMALL,50,597652,0.000000,0.000000,True,False,Project Part #12. Ship via the Space Elevator to complete phases of Project Assembly. Power Usage: 0-2000 MW (1000 MW average).  Growth is the metric by which we measure success.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SpaceElevatorPart_10_C,Biochemical Sculptor,FGItemDescriptor,item,solid,SS_SMALL,50,301778,0.000000,0.000000,True,False,"Project Part #10. Ship via the Space Elevator to complete phases of Project Assembly.  Years ahead of the competition, this top-of-the-line 3D printer is used for the production of synthetic biological resources.",docs_a81d250e96aa,local_game_docs_en_us
Desc_Silica_C,Silica,FGItemDescriptor,item,solid,SS_BIG,200,20,0.000000,0.000000,True,False,"Derived from Raw Quartz. Commonly used to create glass structures, in advanced refinement processes, and for alternative production of electronics.",docs_a81d250e96aa,local_game_docs_en_us
Desc_LiquidFuel_C,Fuel,FGItemDescriptor,item,liquid,SS_FLUID,50000,75,0.750000,0.000000,True,False,"Can be used as-is to generate power, or packaged to be used as fuel for vehicles or the Jetpack.",docs_a81d250e96aa,local_game_docs_en_us
Desc_Plastic_C,Plastic,FGItemDescriptor,item,solid,SS_BIG,200,75,0.000000,0.000000,True,False,"Versatile and easy to manufacture, this material has a wide range of uses.",docs_a81d250e96aa,local_game_docs_en_us
Desc_CircuitBoard_C,Circuit Board,FGItemDescriptor,item,solid,SS_BIG,200,696,0.000000,0.000000,True,False,Advanced electronics that have a plethora of different uses.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Rubber_C,Rubber,FGItemDescriptor,item,solid,SS_BIG,200,60,0.000000,0.000000,True,False,A very flexible material that has a lot of friction.,docs_a81d250e96aa,local_game_docs_en_us
Desc_PolymerResin_C,Polymer Resin,FGItemDescriptor,item,solid,SS_BIG,200,12,0.000000,0.000000,True,False,A by-product of Crude Oil refinement into Fuel. Commonly used to manufacture Plastic and Rubber.,docs_a81d250e96aa,local_game_docs_en_us
Desc_PetroleumCoke_C,Petroleum Coke,FGItemDescriptor,item,solid,SS_BIG,200,20,180.000000,0.000000,True,False,Used for crafting. A carbon-rich material distilled from Heavy Oil Residue.  Used as a less efficient Coal replacement.,docs_a81d250e96aa,local_game_docs_en_us
Desc_HighSpeedWire_C,Quickwire,FGItemDescriptor,item,solid,SS_HUGE,500,17,0.000000,0.000000,True,False,"Caterium's high conductivity and resistance to corrosion make it ideal for small, advanced electronics.",docs_a81d250e96aa,local_game_docs_en_us
Desc_HighSpeedConnector_C,High-Speed Connector,FGItemDescriptor,item,solid,SS_MEDIUM,100,3776,0.000000,0.000000,True,False,"Connects multiple cables and wires in a very efficient way. Uses a standard pattern, so it has many varied applications.",docs_a81d250e96aa,local_game_docs_en_us
Desc_NuclearWaste_C,Uranium Waste,FGItemDescriptor,item,solid,SS_HUGE,500,0,0.000000,10.000000,False,False,The by-product of consuming Uranium Fuel Rods in a Nuclear Power Plant. Non-Fissile Uranium can be extracted. Handle with caution.  Caution: HIGHLY Radioactive.,docs_a81d250e96aa,local_game_docs_en_us
Desc_PlutoniumWaste_C,Plutonium Waste,FGItemDescriptor,item,solid,SS_HUGE,500,0,0.000000,200.000000,False,False,The by-product of consuming Plutonium Fuel Rods in a Nuclear Power Plant. Must be stored in a safe location. Handle with caution.  Caution: EXTREMELY Radioactive.,docs_a81d250e96aa,local_game_docs_en_us
Desc_CoolingSystem_C,Cooling System,FGItemDescriptor,item,solid,SS_MEDIUM,100,12006,0.000000,0.000000,True,False,Keeps advanced parts and buildings from exceeding efficient temperature levels.,docs_a81d250e96aa,local_game_docs_en_us
Desc_CrystalOscillator_C,Crystal Oscillator,FGItemDescriptor,item,solid,SS_MEDIUM,100,3072,0.000000,0.000000,True,False,An electronic oscillator circuit that uses the mechanical resonance of a vibrating crystal to create an electrical signal with a precise frequency.,docs_a81d250e96aa,local_game_docs_en_us
Desc_ElectromagneticControlRod_C,Electromagnetic Control Rod,FGItemDescriptor,item,solid,SS_MEDIUM,100,2560,0.000000,0.000000,True,False,Regulates power output via electromagnetism.,docs_a81d250e96aa,local_game_docs_en_us
Desc_ModularFrameFused_C,Fused Modular Frame,FGItemDescriptor,item,solid,SS_SMALL,50,62840,0.000000,0.000000,True,False,"A corrosion-resistant, nitride-hardened, highly-robust-yet-lightweight modular frame.",docs_a81d250e96aa,local_game_docs_en_us
Desc_MotorLightweight_C,Turbo Motor,FGItemDescriptor,item,solid,SS_SMALL,50,240496,0.000000,0.000000,True,False,A more complex and powerful version of the regular Motor.,docs_a81d250e96aa,local_game_docs_en_us
Desc_QuartzCrystal_C,Quartz Crystal,FGItemDescriptor,item,solid,SS_BIG,200,50,0.000000,0.000000,True,False,Derived from Raw Quartz. Used in the production of advanced radar technology and high-quality display screens.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Stator_C,Stator,FGItemDescriptor,item,solid,SS_MEDIUM,100,240,0.000000,0.000000,True,False,Used for crafting. The static parts of a motor.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Crystal_C,Blue Power Slug,FGItemDescriptor,item,solid,SS_SMALL,50,0,0.000000,0.000000,False,False,A strange slug radiating an unknown weak power.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Crystal_mk2_C,Yellow Power Slug,FGItemDescriptor,item,solid,SS_SMALL,50,0,0.000000,0.000000,False,False,A strange slug radiating an unknown power.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Crystal_mk3_C,Purple Power Slug,FGItemDescriptor,item,solid,SS_SMALL,50,0,0.000000,0.000000,False,False,A strange slug radiating a powerful unknown power.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Battery_C,Battery,FGItemDescriptor,item,solid,SS_BIG,200,465,6000.000000,0.000000,True,False,Primarily used as fuel for Drones and vehicles.,docs_a81d250e96aa,local_game_docs_en_us
Desc_GoldIngot_C,Caterium Ingot,FGItemDescriptor,item,solid,SS_MEDIUM,100,42,0.000000,0.000000,True,False,Smelted from Caterium Ore. Primarily used for advanced electronics.,docs_a81d250e96aa,local_game_docs_en_us
Desc_CircuitBoardHighSpeed_C,AI Limiter,FGItemDescriptor,item,solid,SS_MEDIUM,100,920,0.000000,0.000000,True,False,Controls AIs and keeps them from evolving in malicious ways. Super advanced electronics.,docs_a81d250e96aa,local_game_docs_en_us
Desc_NitricAcid_C,Nitric Acid,FGItemDescriptor,item,liquid,SS_FLUID,50000,94,0.000000,0.000000,True,False,Produced when Nitrogen Gas reacts with Water. Its high corrosiveness and oxidizing properties make it an excellent choice for refinement and fuel production processes.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SulfuricAcid_C,Sulfuric Acid,FGItemDescriptor,item,liquid,SS_FLUID,50000,16,0.000000,0.000000,True,False,Produced by combining Sulfur and Water in a complex reaction. Primarily used in refinement processes and Battery production.,docs_a81d250e96aa,local_game_docs_en_us
Desc_GasTank_C,Empty Fluid Tank,FGItemDescriptor,item,solid,SS_MEDIUM,100,170,0.000000,0.000000,True,False,Used to package gases and volatile liquids for transportation.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Gunpowder_C,Black Powder,FGItemDescriptor,item,solid,SS_BIG,200,14,0.000000,0.000000,True,False,An explosive powder that is commonly used to produce simple explosives.,docs_a81d250e96aa,local_game_docs_en_us
Desc_PlutoniumCell_C,Encased Plutonium Cell,FGItemDescriptor,item,solid,SS_BIG,200,0,0.000000,120.000000,False,False,Plutonium Pellets encased in concrete. Used to produce Plutonium Fuel Rods for Nuclear Power production.  Power Usage: 250-750 MW (500 MW average). ﻿Caution: Moderately Radioactive.,docs_a81d250e96aa,local_game_docs_en_us
Desc_PlutoniumPellet_C,Plutonium Pellet,FGItemDescriptor,item,solid,SS_MEDIUM,100,0,0.000000,20.000000,False,False,Produced in the Particle Accelerator through conversion of Non-fissile Uranium. Used to produce Encased Plutonium Cells for Plutonium Fuel Rods.  Power Usage: 250-750 MW (500 MW average). Caution: Moderately Radioactive.,docs_a81d250e96aa,local_game_docs_en_us
Desc_ModularFrameLightweight_C,Radio Control Unit,FGItemDescriptor,item,solid,SS_SMALL,50,32352,0.000000,0.000000,True,False,Enhances and directs radio signals.,docs_a81d250e96aa,local_game_docs_en_us
Desc_PressureConversionCube_C,Pressure Conversion Cube,FGItemDescriptor,item,solid,SS_SMALL,50,255088,0.000000,0.000000,True,False,"Converts outgoing force into internal pressure. Required to contain unstable, high-energy matter.",docs_a81d250e96aa,local_game_docs_en_us
Desc_NonFissibleUranium_C,Non-Fissile Uranium,FGItemDescriptor,item,solid,SS_HUGE,500,0,0.000000,0.750000,False,False,"The Uranium-238 isotope is non-fissile, meaning it cannot be used for nuclear fission. It can, however, be converted into fissile Plutonium in the Particle Accelerator.  Caution: Mildly Radioactive.",docs_a81d250e96aa,local_game_docs_en_us
Desc_ComputerSuper_C,Supercomputer,FGItemDescriptor,item,solid,SS_SMALL,50,97352,0.000000,0.000000,True,False,The next-gen version of a Computer.,docs_a81d250e96aa,local_game_docs_en_us
Desc_CopperDust_C,Copper Powder,FGItemDescriptor,item,solid,SS_HUGE,500,72,0.000000,0.000000,True,False,"Ground-up Copper Ingots. The high natural density of Copper, combined with the granularity of the powder, makes this part perfect for producing Nuclear Pasta in the Particle Accelerator.",docs_a81d250e96aa,local_game_docs_en_us
Desc_TimeCrystal_C,Time Crystal,FGItemDescriptor,item,solid,SS_BIG,200,960,0.000000,0.000000,True,False,Time Crystals are Diamonds that have been reconfigured on a sub-atomic level in the Converter to retain a time-periodic self-organizing structure. This allows them to be used in the development of quantum processing and storage technologies.,docs_a81d250e96aa,local_game_docs_en_us
Desc_Diamond_C,Diamonds,FGItemDescriptor,item,solid,SS_BIG,200,240,0.000000,0.000000,True,False,Synthetic Diamonds produced by exposing Coal to extreme heat and pressure.  Used in the production of Time Crystals and Dark Matter Crystals.  Power Usage: 250-750 MW (500 MW average).,docs_a81d250e96aa,local_game_docs_en_us
Desc_SAMFluctuator_C,SAM Fluctuator,FGItemDescriptor,item,solid,SS_MEDIUM,100,1968,0.000000,0.000000,True,True,The SAM Fluctuator is able to regulate and direct the behavior of Reanimated SAM through the application of electric charges with varying frequencies. This control facilitates technologies such as matter-to-energy conversion and spatiotemporal matter manipulation.,docs_a81d250e96aa,local_game_docs_en_us
Desc_SAMIngot_C,Reanimated SAM,FGItemDescriptor,item,solid,SS_MEDIUM,100,160,0.000000,0.000000,True,True,"The active and contained form of the Strange Alien Matter.  Proper electromagnetic containment is required, as it appears to be able to manipulate the atomic bonds of any matter it comes into contact with.",docs_a81d250e96aa,local_game_docs_en_us
Desc_FicsiteIngot_C,Ficsite Ingot,FGItemDescriptor,item,solid,SS_MEDIUM,100,1936,0.000000,0.000000,True,False,"Produced by reconstructing other metals on a molecular level using Strange Alien Matter.  Synthesized by FICSIT to be the perfect construction material, and used in the most high-end processes.",docs_a81d250e96aa,local_game_docs_en_us
Desc_FicsiteMesh_C,Ficsite Trigon,FGItemDescriptor,item,solid,SS_BIG,200,1291,0.000000,0.000000,True,False,"The Ficsite Trigon, made from Ficsite Ingots, is perfectly shaped for all construction challenges. Its performance is so exceptional, it basically solved structural engineering.",docs_a81d250e96aa,local_game_docs_en_us
Desc_DarkMatter_C,Dark Matter Crystal,FGItemDescriptor,item,solid,SS_BIG,200,1780,0.000000,0.000000,True,False,Concentrated Dark Matter Residue that is isolated within a crystalline vessel. This form of containment allows for utilising Dark Matter reliably in other production processes.  Power Usage: 500-1500 MW (1000 MW average).,docs_a81d250e96aa,local_game_docs_en_us
Desc_QuantumOscillator_C,Superposition Oscillator,FGItemDescriptor,item,solid,SS_MEDIUM,100,37292,0.000000,0.000000,True,False,An oscillator circuit that uses the mechanical resonance of a vibrating crystal to create a string vibration with a precise frequency. Often used in teleportation technology and dimensional manipulation.,docs_a81d250e96aa,local_game_docs_en_us
Desc_TemporalProcessor_C,Neural-Quantum Processor,FGItemDescriptor,item,solid,SS_MEDIUM,100,248034,0.000000,0.000000,True,False,The Neural-Quantum Processor utilizes a combination of neural network architecture and quantum computing techniques to achieve unprecedented performance. This technology has enabled some of FICSIT's biggest advancements in artificial intelligence and relativistic engineering.,docs_a81d250e96aa,local_game_docs_en_us
Desc_LiquidTurboFuel_C,Turbofuel,FGItemDescriptor,item,liquid,SS_FLUID,50000,225,2.000000,0.000000,True,False,"A more efficient alternative to Fuel. Can be used as-is to generate power, or packaged to be used as fuel for vehicles.",docs_a81d250e96aa,local_game_docs_en_us
Desc_CompactedCoal_C,Compacted Coal,FGItemDescriptor,item,solid,SS_MEDIUM,100,28,630.000000,0.000000,True,False,A much more efficient alternative to Coal. Used as fuel for vehicles and Coal-Powered Generators.,docs_a81d250e96aa,local_game_docs_en_us
Desc_UraniumCell_C,Encased Uranium Cell,FGItemDescriptor,item,solid,SS_BIG,200,147,0.000000,0.500000,True,False,Used to produce Uranium Fuel Rods for Nuclear Power production. Made from Uranium Ore.  Caution: Mildly Radioactive.,docs_a81d250e96aa,local_game_docs_en_us
