planning_recipe_name,planning_rank,match_count,installed_recipe_ids,installed_display_names,status,game_build_id
Sloppy Alumina,S,1,Recipe_Alternate_SloppyAlumina_C,Alternate: Sloppy Alumina,matched,docs_a81d250e96aa
Pure Aluminum Ingot,S,1,Recipe_PureAluminumIngot_C,Alternate: Pure Aluminum Ingot,matched,docs_a81d250e96aa
Electrode Aluminum Scrap,A,1,Recipe_Alternate_ElectroAluminumScrap_C,Alternate: Electrode Aluminum Scrap,matched,docs_a81d250e96aa
Alclad Casing,A,1,Recipe_Alternate_AlcladCasing_C,Alternate: Alclad Casing,matched,docs_a81d250e96aa
Aluminum Rod,B,1,Recipe_Alternate_AluminumRod_C,Alternate: Aluminum Rod,matched,docs_a81d250e96aa
Aluminum Beam,B,1,Recipe_Alternate_SteelBeam_Aluminum_C,Alternate: Aluminum Beam,matched,docs_a81d250e96aa
Instant Scrap,B,1,Recipe_Alternate_InstantScrap_C,Alternate: Instant Scrap,matched,docs_a81d250e96aa
Diluted Fuel,S,1,Recipe_Alternate_DilutedFuel_C,Alternate: Diluted Fuel,matched,docs_a81d250e96aa
Classic Battery,A,1,Recipe_Alternate_ClassicBattery_C,Alternate: Classic Battery,matched,docs_a81d250e96aa
OC Supercomputer,A,1,Recipe_Alternate_OCSupercomputer_C,Alternate: OC Supercomputer,matched,docs_a81d250e96aa
Radio Control System,A,1,Recipe_Alternate_RadioControlSystem_C,Alternate: Radio Control System,matched,docs_a81d250e96aa
Super-State Computer,A,1,Recipe_Alternate_SuperStateComputer_C,Alternate: Super-State Computer,matched,docs_a81d250e96aa
Leached Copper Ingot,A/B,1,Recipe_Alternate_CopperIngot_Leached_C,Alternate: Leached Copper Ingot,matched,docs_a81d250e96aa
Leached Caterium Ingot,A/B,1,Recipe_Alternate_CateriumIngot_Leached_C,Alternate: Leached Caterium Ingot,matched,docs_a81d250e96aa
Leached Iron Ingot,B,1,Recipe_Alternate_IronIngot_Leached_C,Alternate: Leached Iron Ingot,matched,docs_a81d250e96aa
Quartz Purification,B,1,Recipe_Alternate_Quartz_Purified_C,Alternate: Quartz Purification,matched,docs_a81d250e96aa
Distilled Silica,B,1,Recipe_Alternate_Silica_Distilled_C,Alternate: Distilled Silica,matched,docs_a81d250e96aa
Turbo Blend Fuel,B,1,Recipe_Alternate_TurboBlendFuel_C,Alternate: Turbo Blend Fuel,matched,docs_a81d250e96aa
Cooling Device,A,1,Recipe_Alternate_CoolingDevice_C,Alternate: Cooling Device,matched,docs_a81d250e96aa
Heat Exchanger,A,1,Recipe_Alternate_HeatSink_1_C,Alternate: Heat Exchanger,matched,docs_a81d250e96aa
Heat-Fused Frame,A,1,Recipe_Alternate_HeatFusedFrame_C,Alternate: Heat-Fused Frame,matched,docs_a81d250e96aa
Electric Motor,A/B,1,Recipe_Alternate_ElectricMotor_C,Alternate: Electric Motor,matched,docs_a81d250e96aa
Turbo Electric Motor,B,1,Recipe_Alternate_TurboMotor_1_C,Alternate: Turbo Electric Motor,matched,docs_a81d250e96aa
Turbo Pressure Motor,B,1,Recipe_Alternate_TurboPressureMotor_C,Alternate: Turbo Pressure Motor,matched,docs_a81d250e96aa
Fertile Uranium,B,1,Recipe_Alternate_FertileUranium_C,Alternate: Fertile Uranium,matched,docs_a81d250e96aa
Instant Plutonium Cell,B,1,Recipe_Alternate_InstantPlutoniumCell_C,Alternate: Instant Plutonium Cell,matched,docs_a81d250e96aa
Plutonium Fuel Unit,B,1,Recipe_Alternate_PlutoniumFuelUnit_C,Alternate: Plutonium Fuel Unit,matched,docs_a81d250e96aa
Oil-Based Diamonds,S/A,1,Recipe_Alternate_Diamond_OilBased_C,Alternate: Oil-Based Diamonds,matched,docs_a81d250e96aa
Cloudy Diamonds,A,1,Recipe_Alternate_Diamond_Cloudy_C,Alternate: Cloudy Diamonds,matched,docs_a81d250e96aa
Petroleum Diamonds,A/B,1,Recipe_Alternate_Diamond_Petroleum_C,Alternate: Petroleum Diamonds,matched,docs_a81d250e96aa
Pink Diamonds,B,1,Recipe_Alternate_Diamond_Pink_C,Alternate: Pink Diamonds,matched,docs_a81d250e96aa
Dark Matter Trap,S/A,1,Recipe_Alternate_DarkMatter_Trap_C,Alternate: Dark Matter Trap,matched,docs_a81d250e96aa
Dark Matter Crystallization,A,1,Recipe_Alternate_DarkMatter_Crystallization_C,Alternate: Dark Matter Crystallization,matched,docs_a81d250e96aa
